北京 , 上海 , 华夏航空 , G56900 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 08:00:00 , 2024-01-20 10:15:00 , 93% , 2040
北京 , 上海 , 东方航空 , MU6795 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 15:50:00 , 2024-01-20 18:05:00 ,  , 600
北京 , 上海 , 东方航空 , MU5160 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 17:30:00 , 2024-01-20 19:45:00 , 97% , 600
北京 , 上海 , 东方航空 , MU5196 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 12:55:00 , 2024-01-20 15:25:00 , 97% , 1802
北京 , 上海 , 东方航空 , MU5152 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 08:30:00 , 2024-01-20 10:45:00 , 87% , 700
北京 , 上海 , 东方航空 , MU5130 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:15:00 , 2024-01-20 22:40:00 , 97% , 450
北京 , 上海 , 东方航空 , MU5120 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 17:00:00 , 2024-01-20 19:15:00 , 90% , 600
北京 , 上海 , 东方航空 , MU5164 , 空客321 , 首都国际机场 , PEK , 浦东国际机场 , PVG , 2024-01-20 19:30:00 , 2024-01-20 21:45:00 , 100% , 600
北京 , 上海 , 东方航空 , MU5162 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 18:30:00 , 2024-01-20 20:45:00 , 97% , 600
北京 , 上海 , 东方航空 , MU8208 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 17:15:00 , 2024-01-20 19:15:00 , 80% , 570
北京 , 上海 , 东方航空 , MU3767 , 空客32S , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 11:35:00 , 2024-01-20 13:55:00 , 97% , 980
北京 , 上海 , 东方航空 , MU8218 , 波音737 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:55:00 , 2024-01-20 23:20:00 , 90% , 570
北京 , 上海 , 东方航空 , MU3769 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 21:55:00 , 2024-01-20 23:55:00 , 93% , 980
北京 , 上海 , 东方航空 , MU5183 , 空客330 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 07:30:00 , 2024-01-20 09:45:00 , 83% , 890
北京 , 上海 , 东方航空 , MU5112 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 13:00:00 , 2024-01-20 15:15:00 , 97% , 797
北京 , 上海 , 东方航空 , MU5156 , 空客320 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 13:30:00 , 2024-01-20 15:45:00 , 97% , 600
北京 , 上海 , 东方航空 , MU5102 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 08:00:00 , 2024-01-20 10:15:00 , 93% , 700
北京 , 上海 , 东方航空 , MU5124 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 19:00:00 , 2024-01-20 21:10:00 , 100% , 600
北京 , 上海 , 东方航空 , MU5110 , 空客321 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 12:00:00 , 2024-01-20 14:15:00 , 97% , 797
北京 , 上海 , 东方航空 , MU5154 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 11:30:00 , 2024-01-20 13:40:00 , 97% , 797
北京 , 上海 , 东方航空 , MU5122 , 空客320 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 18:00:00 , 2024-01-20 20:15:00 , 97% , 600
北京 , 上海 , 东方航空 , MU5100 , 空客320 , 首都国际机场 , PEK , 浦东国际机场 , PVG , 2024-01-20 07:00:00 , 2024-01-20 09:20:00 ,  , 747
北京 , 上海 , 东方航空 , MU5166 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 21:30:00 , 2024-01-20 23:45:00 , 97% , 600
北京 , 上海 , 东方航空 , MU5116 , 空客321 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 15:00:00 , 2024-01-20 17:25:00 , 97% , 600
北京 , 上海 , 东方航空 , MU5138 , C919 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 19:15:00 , 2024-01-20 21:10:00 ,  , 600
北京 , 上海 , 东方航空 , MU5106 , 空客320 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 10:00:00 , 2024-01-20 12:20:00 , 93% , 797
北京 , 上海 , 东方航空 , MU5128 , 空客320 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 21:00:00 , 2024-01-20 23:25:00 , 100% , 600
北京 , 上海 , 东方航空 , MU5158 , 空客320 , 首都国际机场 , PEK , 浦东国际机场 , PVG , 2024-01-20 14:30:00 , 2024-01-20 16:45:00 ,  , 890
北京 , 上海 , 东方航空 , MU5114 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 14:00:00 , 2024-01-20 16:15:00 , 93% , 600
北京 , 上海 , 东方航空 , MU8144 , 波音737 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 07:20:00 , 2024-01-20 09:25:00 , 90% , 650
北京 , 上海 , 东方航空 , MU4857 , 波音737 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 17:30:00 , 2024-01-20 19:35:00 , 97% , 730
北京 , 上海 , 东方航空 , MU5104 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 09:00:00 , 2024-01-20 11:20:00 , 97% , 797
北京 , 上海 , 东方航空 , MU5126 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 20:00:00 , 2024-01-20 22:05:00 , 93% , 600
北京 , 上海 , 东方航空 , MU5118 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 16:00:00 , 2024-01-20 18:15:00 , 97% , 600
北京 , 上海 , 东方航空 , MU5108 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 11:00:00 , 2024-01-20 13:20:00 , 97% , 797
北京 , 上海 , 厦门航空 , MF3542 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 12:55:00 , 2024-01-20 15:25:00 , 97% , 2100
北京 , 上海 , 厦门航空 , MF4709 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 09:00:00 , 2024-01-20 11:05:00 , 90% , 880
北京 , 上海 , 厦门航空 , MF4717 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:35:00 , 2024-01-20 22:50:00 , 100% , 760
北京 , 上海 , 厦门航空 , MF4715 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 13:00:00 , 2024-01-20 14:55:00 , 93% , 880
北京 , 上海 , 厦门航空 , MF3534 , 空客330 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 07:30:00 , 2024-01-20 09:45:00 , 83% , 1120
北京 , 上海 , 厦门航空 , MF8555 , 波音737 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 17:30:00 , 2024-01-20 19:35:00 , 97% , 490
北京 , 上海 , 厦门航空 , MF4713 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 16:15:00 , 2024-01-20 18:20:00 , 90% , 760
北京 , 上海 , 厦门航空 , MF4711 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 11:35:00 , 2024-01-20 14:00:00 , 100% , 760
北京 , 上海 , 南方航空 , CZ4456 , 波音737 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 17:30:00 , 2024-01-20 19:35:00 , 97% , 490
北京 , 上海 , 南方航空 , CZ7281 , 空客32S , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 11:35:00 , 2024-01-20 13:55:00 , 97% , 940
北京 , 上海 , 南方航空 , CZ8881 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 11:35:00 , 2024-01-20 14:00:00 , 100% , 700
北京 , 上海 , 南方航空 , CZ8887 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 13:00:00 , 2024-01-20 14:55:00 , 93% , 820
北京 , 上海 , 南方航空 , CZ8885 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 16:15:00 , 2024-01-20 18:20:00 , 90% , 700
北京 , 上海 , 南方航空 , CZ8879 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 09:00:00 , 2024-01-20 11:05:00 , 90% , 820
北京 , 上海 , 南方航空 , CZ162 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 21:55:00 , 2024-01-20 23:55:00 , 93% , 940
北京 , 上海 , 南方航空 , CZ8889 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:35:00 , 2024-01-20 22:50:00 , 100% , 700
北京 , 上海 , 中国国航 , CA1509 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 17:30:00 , 2024-01-20 20:00:00 , 100% , 600
北京 , 上海 , 中国国航 , CA1835 , 空客330 , 首都国际机场 , PEK , 浦东国际机场 , PVG , 2024-01-20 08:00:00 , 2024-01-20 10:15:00 , 93% , 800
北京 , 上海 , 中国国航 , CA1589 , 全新空客 A350-900 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 20:30:00 , 2024-01-20 22:55:00 , 100% , 600
北京 , 上海 , 中国国航 , CA1523 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 11:00:00 , 2024-01-20 13:25:00 , 97% , 650
北京 , 上海 , 中国国航 , CA1501 , 波音747 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 08:30:00 , 2024-01-20 10:55:00 , 90% , 650
北京 , 上海 , 中国国航 , CA1557 , 空客320 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 11:30:00 , 2024-01-20 13:55:00 , 100% , 600
北京 , 上海 , 中国国航 , CA1515 , 全新空客 A350-900 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 15:35:00 , 2024-01-20 17:55:00 , 97% , 600
北京 , 上海 , 中国国航 , CA1549 , 波音747 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 16:30:00 , 2024-01-20 18:45:00 , 97% , 600
北京 , 上海 , 中国国航 , CA1517 , 波音747 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 13:30:00 , 2024-01-20 16:00:00 , 97% , 600
北京 , 上海 , 中国国航 , CA1507 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 07:30:00 , 2024-01-20 09:55:00 , 97% , 650
北京 , 上海 , 中国国航 , CA1519 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 09:30:00 , 2024-01-20 11:55:00 , 87% , 650
北京 , 上海 , 中国国航 , CA8686 , 空客320 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:35:00 , 2024-01-20 22:55:00 , 100% , 450
北京 , 上海 , 中国国航 , CA1563 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 19:30:00 , 2024-01-20 21:40:00 , 100% , 600
北京 , 上海 , 中国国航 , CA8680 , 空客320 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 17:35:00 , 2024-01-20 19:55:00 , 100% , 550
北京 , 上海 , 中国国航 , CA1531 , 波音787 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 10:30:00 , 2024-01-20 12:55:00 , 90% , 600
北京 , 上海 , 中国国航 , CA1565 , 波音777 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 18:30:00 , 2024-01-20 20:55:00 , 100% , 600
北京 , 上海 , 中国国航 , CA1521 , 波音787 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 14:30:00 , 2024-01-20 17:00:00 , 97% , 600
北京 , 上海 , 中国国航 , CA1533 , 空客330 , 首都国际机场 , PEK , 虹桥国际机场 , SHA , 2024-01-20 12:30:00 , 2024-01-20 15:00:00 , 97% , 600
北京 , 上海 , 中国国航 , CA1883 , 全新空客 A350-900 , 首都国际机场 , PEK , 浦东国际机场 , PVG , 2024-01-20 20:15:00 , 2024-01-20 22:40:00 , 97% , 500
北京 , 上海 , 长龙航空 , GJ3685 , 波音737 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 17:30:00 , 2024-01-20 19:35:00 , 97% , 730
北京 , 上海 , 深圳航空 , ZH5140 , 空客32S , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 11:35:00 , 2024-01-20 13:55:00 , 97% , 890
北京 , 上海 , 深圳航空 , ZH5142 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 21:55:00 , 2024-01-20 23:55:00 , 93% , 890
北京 , 上海 , 吉祥航空 , HO1254 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 21:55:00 , 2024-01-20 23:55:00 , 93% , 500
北京 , 上海 , 吉祥航空 , HO1252 , 空客32S , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 11:35:00 , 2024-01-20 13:55:00 , 97% , 680
北京 , 上海 , 吉祥航空 , HO7371 , 空客321 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 13:00:00 , 2024-01-20 14:55:00 , 93% , 805
北京 , 上海 , 吉祥航空 , HO7373 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 20:35:00 , 2024-01-20 22:50:00 , 100% , 702
北京 , 上海 , 吉祥航空 , HO7365 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 09:00:00 , 2024-01-20 11:05:00 , 90% , 805
北京 , 上海 , 吉祥航空 , HO7367 , 空客321 , 大兴国际机场 , PKX , 浦东国际机场 , PVG , 2024-01-20 11:35:00 , 2024-01-20 14:00:00 , 100% , 718
北京 , 上海 , 吉祥航空 , HO7369 , 空客330 , 大兴国际机场 , PKX , 虹桥国际机场 , SHA , 2024-01-20 16:15:00 , 2024-01-20 18:20:00 , 90% , 685
北京 , 重庆 , 厦门航空 , MF7110 , 波音737 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 09:30:00 , 2024-01-20 13:45:00 ,  , 990
北京 , 重庆 , 厦门航空 , MF1493 , 空客320 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 17:25:00 , 2024-01-20 20:20:00 , 97% , 1000
北京 , 重庆 , 厦门航空 , MF4671 , 空客321 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 15:25:00 , 2024-01-20 18:05:00 , 93% , 1000
北京 , 重庆 , 厦门航空 , MF4729 , 空客320 , 大兴国际机场 , PKX , 江北国际机场 , CKG , 2024-01-20 07:25:00 , 2024-01-20 10:15:00 , 100% , 1150
